"Year","total_workers_num_male","total_workers_num_male_we","total_median_earn_male","MOE1","total_workers_num_female","total_workers_num_female_we","total_median_earn_female","MOE2","ft_workers_num_male","ft_workers_num_male_we","ft_median_earn_male","MOE3","ft_workers_num_female","ft_workers_num_female_we","ft_median_earn_female","MOE4","F/M_earn_ratio"
"2020","87656","87599","49389","919","79335","79248","35838","305","59653","59634","61417","284","45866","45859","50982","277","0.83"
"2019","89061","89023","49378","832","80862","80779","36273","269","67136","67123","58173","876","52062","52035","47889","372","0.82299999999999995"
"2018","88165","88115","48182","419","79493","79440","33661","712","67220","67205","56995","489","50807","50795","46488","502","0.81599999999999995"
"2017","88069","88020","47589","712","78359","78291","33671","201","66515","66500","55106","236","49244","49227","45004","921","0.81699999999999995"
"2017","88140","88101","46893","1296","78260","78196","33379","181","66397","66379","55064","238","49308","49293","44326","219","0.80500000000000005"
"2016","86945","86886","45541","254","77813","77742","33311","218","64990","64953","55702","227","48345","48328","44823","264","0.80500000000000005"
"2015","86466","86435","45468","252","77066","76974","33046","192","63891","63887","55953","244","47232","47211","44514","262","0.79600000000000004"
"2014","84539","84494","44477","234","75639","75572","31076","519","62466","62455","55142","238","46246","46226","43364","785","0.78600000000000003"
"2013","83916","83855","44775","555","74892","74821","30485","516","61240","61240","55666","1040","44629","44629","43176","1274","0.77600000000000002"
"2013","83605","83555","44412","800","74598","74545","30870","666","60781","60769","55686","450","45081","45068","43581","665","0.78300000000000003"
"2012","83070","83003","42825","769","74252","74188","30363","255","59028","59009","55794","868","44059","44042","42684","671","0.76500000000000001"
"2011","81418","81366","43069","315","73178","73094","30623","250","58014","57993","55596","899","43702","43683","42812","292","0.77"
"2010","80893","80856","43764","311","72789","72716","31532","256","56294","56283","57050","957","43184","43179","43888","286","0.76900000000000002"
"2009","81979","81934","43938","235","73063","72972","31480","185","56072","56053","56995","292","43253","43217","43874","209","0.77"
"2008","84088","84039","44071","212","74600","74538","30913","192","59875","59861","55881","287","44163","44156","43079","210","0.77100000000000002"
"2007","84532","84482","45848","218","74382","74295","32386","187","63000","62984","56458","309","45640","45613","43929","210","0.77800000000000002"
"2006","83980","83928","46175","227","73761","73683","31487","324","63070","63055","54389","186","44682","44663","41846","392","0.76900000000000002"
"2005","82987","82934","45639","614","72544","72476","30658","313","61515","61500","54989","197","43369","43351","42329","177","0.77"
"2004","81503","81448","44622","364","72016","71930","30573","179","60103","60088","56041","203","42414","42380","42914","179","0.76600000000000001"
"2003","80554","80508","45214","183","71446","71372","31043","188","58784","58772","57375","209","41922","41908","43346","193","0.755"
"2002","80548","80500","45662","195","71500","71411","30919","178","58774","58761","56890","579","41900","41876","43578","190","0.76600000000000001"
"2001","80300","80209","45967","190","71308","71232","30559","190","58728","58712","56095","622","41651","41639","42817","398","0.76300000000000001"
"2000","80572","80494","46653","193","71758","71657","30549","191","59619","59602","56151","250","41744","41719","41394","253","0.73699999999999999"
"1999","79360","79322","46877","372","71153","71053","28738","415","58318","58299","56714","349","40890","40871","41013","290","0.72299999999999998"
"1998","77323","77295","45768","610","68950","68846","28198","422","56957","56951","56257","348","38819","38785","41163","309","0.73199999999999998"
"1997","76731","76694","43303","324","67851","67736","26966","287","54933","54909","54323","852","37715","37683","40287","411","0.74199999999999999"
"1996","76165","76121","42496","333","66744","66661","26415","296","53801","53787","52976","312","36457","36430","39076","450","0.73799999999999999"
"1995","74681","74619","42330","440","65657","65557","25924","284","52675","52667","53290","320","35502","35482","38064","381","0.71399999999999997"
"1994","74326","74264","40989","527","64803","64706","24818","373","51597","51580","53462","353","34182","34155","38475","314","0.72"
"1993","73287","73198","39700","381","63808","63660","24581","396","49838","49818","53787","340","33552","33524","38468","279","0.71499999999999997"
"1992","73142","73120","39721","343","62535","62408","24531","400","48554","48551","54763","340","33296","33241","38764","304","0.70799999999999996"
"1991","72064","72040","40624","336","61959","61796","23946","382","47987","47888","54682","676","32491","32436","38200","300","0.69899999999999995"
"1990","72380","72348","41456","323","61946","61732","23596","253","49181","49171","53314","656","31758","31682","38182","402","0.71599999999999997"
"1989","72093","72045","43205","346","61586","61338","23721","259","49698","49678","55242","372","31428","31340","37936","419","0.68700000000000006"
"1988","70496","70467","43483","392","60873","60658","23408","274","48303","48285","56233","406","31334","31237","37141","437","0.66"
"1987","69624","69545","43318","521","59557","59359","23211","252","47048","47013","56712","388","29982","29912","36964","284","0.65200000000000002"
"1986","68783","68728","42466","517","57932","57686","22646","309","45912","45912","57103","402","28493","28420","36700","316","0.64300000000000002"
"1985","67852","67809","40901","511","56592","56296","21459","356","44952","44943","55662","534","27470","27383","35944","310","0.64600000000000002"
"1984","66513","66454","40514","372","55596","55226","20642","329","43836","43808","55248","466","26587","26466","35169","341","0.63700000000000001"
"1983","65216","65138","39835","359","53413","53108","20398","245","41548","41528","54233","408","25288","25166","34489","347","0.63600000000000001"
"1982","64827","64730","39730","370","52299","51820","19864","238","40135","40105","54472","378","23845","23702","33633","374","0.61699999999999999"
"1981","65362","65233","41274","388","52504","51940","19792","234","41811","41773","55522","320","23488","23329","32888","225","0.59199999999999997"
"1980","64861","64730","42022","479","51988","51448","19867","266","41923","41881","55821","464","23025","22859","33582","242","0.60199999999999998"
"1979","64769","64648","43183","477","51462","50897","19934","280","42469","42437","56743","368","22248","22082","33854","285","0.59699999999999998"
"1978","63101","62903","44302","354","49214","48398","19166","288","41078","41036","57436","324","21131","20914","34140","312","0.59399999999999997"
"1977","61959","61704","43064","366","47333","46194","18237","263","39325","39263","57067","443","19544","19238","33625","250","0.58899999999999997"
"1976","60703","60450","42728","321","45659","44565","17820","273","38214","38184","55811","362","18372","18073","33595","273","0.60199999999999998"
"1975","59509","59268","42436","375","43725","42926","17340","303","37316","37267","55965","361","17738","17452","32917","274","0.58799999999999997"
"1974","60102","59866","43299","N","43694","42854","16914","N","N","37916","56316","398","N","16945","33088","266","0.58799999999999997"
"1973","59816","59438","45337","N","42835","41583","17065","N","39643","39581","58412","N","17547","17195","33081","N","0.56599999999999995"
"1972","58194","57774","44340","N","40723","39470","17656","N","38234","38184","56608","N","16976","16675","32754","N","0.57899999999999996"
"1971","57303","56886","42223","N","39910","38485","17065","N","36868","36819","53717","N","16353","16002","31965","N","0.59499999999999997"
"1970","56265","55821","42666","N","39682","38273","16286","N","36193","36132","53487","N","15805","15476","31755","N","0.59399999999999997"
"1969","55700","55273","43184","N","39060","37737","16049","N","37055","37008","51496","N","15678","15374","31153","N","0.60499999999999998"
"1968","55095","54026","42122","N","38279","35695","16425","N","37099","37068","50112","N","15336","15013","29143","N","0.58199999999999996"
"1967","54412","53222","40906","N","36971","34391","15975","N","36695","36645","48802","N","15141","14846","28199","N","0.57799999999999996"
"1966","53016","N","41364","N","35295","N","16565","N","N","N","48042","N","N","N","27651","N","0.57599999999999996"
"1965","N","N","38941","N","N","N","16711","N","N","N","46032","N","N","N","27585","N","0.59899999999999998"
"1964","51978","N","38566","N","33146","N","15658","N","N","N","45385","N","N","N","26845","N","0.59099999999999997"
"1963","51039","N","41027","N","32188","N","15077","N","N","N","44350","N","N","N","26143","N","0.58899999999999997"
"1962","50639","N","36947","N","31418","N","14752","N","N","N","43263","N","N","N","25654","N","0.59299999999999997"
"1961","49854","N","35812","N","30433","N","14208","N","N","N","42486","N","N","N","25173","N","0.59199999999999997"
"1960","50033","N","34515","N","30585","N","14028","N","N","N","41173","N","N","N","24981","N","0.60699999999999998"
